,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,country
0,2018-04-01,-19.773824716885336,-1185.1529237570849,1067.6465258487347,-19.773824716885336,-19.773824716885336,-0.00216367335020938,-0.00216367335020938,-0.00216367335020938,0.00719603667965993,0.00719603667965993,0.00719603667965993,-0.0005562555546340845,-0.0005562555546340845,-0.0005562555546340845,0.009915965584503396,0.009915965584503396,0.009915965584503396,0.0,0.0,0.0,-19.91611788484521,singapore
1,2018-04-02,-19.560239334923704,-1108.2372531298836,1053.3937994839425,-19.560239334923704,-19.560239334923704,-0.00216367335020938,-0.00216367335020938,-0.00216367335020938,0.010795834557626172,0.010795834557626172,0.010795834557626172,0.003145315488314661,0.003145315488314661,0.003145315488314661,0.009814192419520891,0.009814192419520891,0.009814192419520891,0.0,0.0,0.0,-19.771408442691115,singapore
2,2018-04-03,-19.34665395296207,-1153.4852673323423,1214.7015973539587,-19.34665395296207,-19.34665395296207,-0.00216367335020938,-0.00216367335020938,-0.00216367335020938,0.007001205726029186,0.007001205726029186,0.007001205726029186,-0.00043083074948169783,-0.00043083074948169783,-0.00043083074948169783,0.009595709825720264,0.009595709825720264,0.009595709825720264,0.0,0.0,0.0,-19.48210385739705,singapore
3,2018-04-04,-19.133068571000432,-1104.4031964693231,1185.2703574670322,-19.133068571000432,-19.133068571000432,-0.00216367335020938,-0.00216367335020938,-0.00216367335020938,0.006570999806323077,0.006570999806323077,0.006570999806323077,-0.0005299131195766585,-0.0005299131195766585,-0.0005299131195766585,0.009264586276109115,0.009264586276109115,0.009264586276109115,0.0,0.0,0.0,-19.25879196087484,singapore
4,2018-04-05,-18.919483189038797,-1123.4985744228857,1120.2063678411146,-18.919483189038797,-18.919483189038797,-0.00216367335020938,-0.00216367335020938,-0.00216367335020938,0.006127051795505741,0.006127051795505741,0.006127051795505741,-0.0005363182508170852,-0.0005363182508170852,-0.0005363182508170852,0.008827043396532206,0.008827043396532206,0.008827043396532206,0.0,0.0,0.0,-19.035403842482236,singapore
5,2018-04-06,-18.70589780707716,-1182.772657560178,1130.2582375843879,-18.70589780707716,-18.70589780707716,-0.00216367335020938,-0.00216367335020938,-0.00216367335020938,0.005584878073539798,0.005584878073539798,0.005584878073539798,-0.0005427602937119397,-0.0005427602937119397,-0.0005427602937119397,0.008291311717461117,0.008291311717461117,0.008291311717461117,0.0,0.0,0.0,-18.81036796558578,singapore
6,2018-04-07,-18.49231242511553,-1083.4628267164428,1153.16086260695,-18.49231242511553,-18.49231242511553,-0.00216367335020938,-0.00216367335020938,-0.00216367335020938,0.004954530055979163,0.004954530055979163,0.004954530055979163,-0.0005492375200947645,-0.0005492375200947645,-0.0005492375200947645,0.007667440926283308,0.007667440926283308,0.007667440926283308,0.0,0.0,0.0,-18.583933142830322,singapore
7,2018-04-08,-18.278727043153893,-1109.7365539568546,1108.5639343281566,-18.278727043153893,-18.278727043153893,-0.00216367335020938,-0.00216367335020938,-0.00216367335020938,0.004247140487962634,0.004247140487962634,0.004247140487962634,-0.0005562555546297357,-0.0005562555546297357,-0.0005562555546297357,0.00696706939280175,0.00696706939280175,0.00696706939280175,0.0,0.0,0.0,-18.35635936484729,singapore
8,2018-04-09,-18.065141661192257,-1079.1799724468426,1109.7432694917784,-18.065141661192257,-18.065141661192257,-0.00216367335020938,-0.00216367335020938,-0.00216367335020938,0.007184800877963821,0.007184800877963821,0.007184800877963821,0.003145315488314433,0.003145315488314433,0.003145315488314433,0.006203158739858767,0.006203158739858767,0.006203158739858767,0.0,0.0,0.0,-18.194936106860133,singapore
9,2018-04-10,-17.851556279230625,-1179.1666811732339,1101.2710085783426,-17.851556279230625,-17.851556279230625,-0.00216367335020938,-0.00216367335020938,-0.00216367335020938,0.0027951959784685843,0.0027951959784685843,0.0027951959784685843,-0.0004308307494776143,-0.0004308307494776143,-0.0004308307494776143,0.005389700078155578,0.005389700078155578,0.005389700078155578,0.0,0.0,0.0,-17.90145487755174,singapore
