,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,country
0,2017-11-01,2695.394705397604,-15784.766726640786,20015.5360381972,2695.394705397604,2695.394705397604,-0.12317418325023408,-0.12317418325023408,-0.12317418325023408,-0.2817774124438313,-0.2817774124438313,-0.2817774124438313,-0.014042775975015784,-0.014042775975015784,-0.014042775975015784,-0.14456045321858146,-0.14456045321858146,-0.14456045321858146,0.0,0.0,0.0,1935.8933597958642,united_kingdom
1,2017-11-02,2713.9546134366074,-14105.88523497418,19243.73926447213,2713.9546134366074,2713.9546134366074,-0.12317418325023408,-0.12317418325023408,-0.12317418325023408,-0.0030465081738552183,-0.0030465081738552183,-0.0030465081738552183,0.28010337095771076,0.28010337095771076,0.28010337095771076,-0.15997569588133193,-0.15997569588133193,-0.15997569588133193,0.0,0.0,0.0,2705.6865285233007,united_kingdom
2,2017-11-03,2732.514521475611,-14416.220925443666,19993.882411654497,2732.514521475611,2732.514521475611,-0.12317418325023408,-0.12317418325023408,-0.12317418325023408,-0.16339212553313864,-0.16339212553313864,-0.16339212553313864,0.13494286005123188,0.13494286005123188,0.13494286005123188,-0.17516080233413645,-0.17516080233413645,-0.17516080233413645,0.0,0.0,0.0,2286.043165761544,united_kingdom
3,2017-11-04,2751.0744295146146,-17574.120428765244,17798.890683899655,2751.0744295146146,2751.0744295146146,-0.12317418325023408,-0.12317418325023408,-0.12317418325023408,-1.211396534841666,-1.211396534841666,-1.211396534841666,-0.8991911764916587,-0.8991911764916587,-0.8991911764916587,-0.18903117509977302,-0.18903117509977302,-0.18903117509977302,0.0,0.0,0.0,-581.5676014909026,united_kingdom
4,2017-11-05,2769.6343375536185,-16171.988769130347,18044.71255962337,2769.6343375536185,2769.6343375536185,-0.12317418325023408,-0.12317418325023408,-0.12317418325023408,-0.6785927660768835,-0.6785927660768835,-0.6785927660768835,-0.35501450808829516,-0.35501450808829516,-0.35501450808829516,-0.20040407473835423,-0.20040407473835423,-0.20040407473835423,0.0,0.0,0.0,890.1805114115917,united_kingdom
5,2017-11-06,2788.194245592622,-14251.436420575277,19683.103935129315,2788.194245592622,2788.194245592622,-0.12317418325023408,-0.12317418325023408,-0.12317418325023408,-0.17663918305323803,-0.17663918305323803,-0.17663918305323803,0.1545697782610976,0.1545697782610976,0.1545697782610976,-0.20803477806410153,-0.20803477806410153,-0.20803477806410153,0.0,0.0,0.0,2295.689891857402,united_kingdom
6,2017-11-07,2806.7541536316257,-14082.658515795287,21283.195370590005,2806.7541536316257,2806.7541536316257,-0.12317418325023408,-0.12317418325023408,-0.12317418325023408,0.36480203735454414,0.36480203735454414,0.36480203735454414,0.698632451288561,0.698632451288561,0.698632451288561,-0.2106562306837828,-0.2106562306837828,-0.2106562306837828,0.0,0.0,0.0,3830.663787229772,united_kingdom
7,2017-11-08,2825.314061670629,-15555.811866329981,20113.721866981545,2825.3140616706287,2825.3140616706287,-0.12317418325023408,-0.12317418325023408,-0.12317418325023408,-0.34423802338397147,-0.34423802338397147,-0.34423802338397147,-0.01404277597478619,-0.01404277597478619,-0.01404277597478619,-0.20702106415895125,-0.20702106415895125,-0.20702106415895125,0.0,0.0,0.0,1852.7335336421918,united_kingdom
8,2017-11-09,2843.8739697096335,-13049.146390076054,20539.189247124115,2843.8739697096335,2843.8739697096335,-0.12317418325023408,-0.12317418325023408,-0.12317418325023408,-0.0390155672301894,-0.0390155672301894,-0.0390155672301894,0.28010337095875404,0.28010337095875404,0.28010337095875404,-0.1959447549387094,-0.1959447549387094,-0.1959447549387094,0.0,0.0,0.0,2732.9186136502417,united_kingdom
9,2017-11-10,2862.4338777486373,-14602.928379446825,19801.189630612913,2862.4338777486373,2862.4338777486373,-0.12317418325023408,-0.12317418325023408,-0.12317418325023408,-0.1645799669289337,-0.1645799669289337,-0.1645799669289337,0.1349428600494878,0.1349428600494878,0.1349428600494878,-0.1763486437281874,-0.1763486437281874,-0.1763486437281874,0.0,0.0,0.0,2391.334604812507,united_kingdom
